species,male.color,female.color,fruit,biparental.care,Support,plumage.difference,Group
Synallaxis_azarae,50.5509,48.1236,2.9227,1,,2.4273,Furnariida
Philepitta_castanea,61.3513,40.6335,58.5194,0,85.1,20.7178,Asities
Calyptomena_whiteheadi,53.4917,48.8808,85.8928,1,0.005,4.6109,Broadbills
Piprites_chloris,48.8119,45.2307,38.1251,,,3.5812,Manakins
Pipra_erythrocephala,52.5552,39.9517,74.9475,0,95.3,12.6035,Manakins
Neopelma_chrysocephalum,51.0609,44.7859,30.9998,1,,6.275,Manakins
Tityra_semifasciata,56.7686,41.4236,80.5543,,,15.345,Cotingas
Lipaugus_uropygialis,55.6063,48.6246,82.8966,0.5,,6.9817,Cotingas
Phytotoma_raimondii,53.3805,38.9035,13.1423,,0.005,14.477,Cotingas
Mionectes_macconnelli,45.7588,45.0649,69.1945,0,87.5,0.6939,Mionectes
Contopus_caribaeus,46.7528,46.3586,7.2022,0.5,0.047,0.3942,Tyrannids